collocation,mle_rank,pmi_rank,tscore_rank,dice_rank,ll_rank,rank_av,rank_nor,rank_opt
phương_diện y_khoa,1122.0,2622.0,981.0,2296.0,1135.0,1631.2,1383.2525539724345,1631.2
điện sinh_lý,3028.0,155.0,3028.0,701.0,1444.0,1671.2,1417.1724302346327,1671.2
the day,1535.0,3114.0,1443.0,2792.0,1505.0,2077.8,1761.9679724398754,2077.8
loạn_thị giác,2475.0,3245.0,2443.0,3254.0,0.0,2854.25,2854.25,2854.25
môi thâm,2906.0,2891.0,2898.0,3127.0,2085.0,2781.4,2358.618595891938,2781.4
vị tràng,941.0,103.0,915.0,200.0,92.0,450.2,381.7682073310385,450.2
hạch rốn,1265.0,247.0,1234.0,482.0,285.0,702.6,595.8026265455079,702.6
tim_mạch mạn_tính,2178.0,481.0,2168.0,992.0,1046.0,1373.0,1164.2997526999466,1373.0
chu_kỳ ít_nhất,2393.0,540.0,2384.0,1329.0,1311.0,1591.4,1349.5022770915477,1591.4
đối_tác tình_dục,1832.0,1619.0,1805.0,1019.0,1361.0,1527.2,1295.0608756907197,1527.2
bên trụ,941.0,1983.0,886.0,527.0,0.0,1084.25,1084.25,1084.25
phức_hợp sắt,1433.0,1592.0,1404.0,413.0,0.0,1210.5,1210.5,1210.5
chất_béo dư_thừa,387.0,1440.0,104.0,1467.0,543.0,788.2,668.3911617466117,788.2
gói tương_đương,719.0,977.0,652.0,352.0,525.0,645.0,546.9580047279428,645.0
bề_mặt ẩm,2178.0,2704.0,2132.0,2651.0,1689.0,2270.8,1925.6313754049809,2270.8
nôn_mửa liên_tục,1658.0,1763.0,1614.0,1127.0,1282.0,1488.8,1262.4977944790096,1488.8
thịt gà,2543.0,2047.0,2528.0,2242.0,1799.0,2231.8,1892.5594960493377,2231.8
hành_vi kỳ_quặc,3095.0,2703.0,3093.0,3062.0,0.0,2988.25,2988.25,2988.25
bậc nhất,941.0,1027.0,807.0,1325.0,635.0,947.0,803.0530705075378,947.0
sắt nguyên_tố,3379.0,2183.0,3378.0,3263.0,2314.0,2903.4,2462.074218491642,2903.4
cây bạch,2007.0,450.0,1998.0,869.0,911.0,1247.0,1057.4521424740228,1247.0
ánh mặt_trời,1433.0,672.0,1362.0,1081.0,697.0,1049.0,889.5487549761426,1049.0
giới_hạn đợt,2216.0,2013.0,2192.0,1992.0,1616.0,2005.8,1700.9121951679188,2005.8
phù cổ_trướng,1734.0,2204.0,1683.0,1963.0,1393.0,1795.4,1522.4936460287574,1795.4
nhiễm_sắc_thể y,941.0,2731.0,762.0,2336.0,1051.0,1564.2,1326.436761233253,1564.2
phong_bế tuyến_giáp,1122.0,365.0,1104.0,278.0,365.0,646.8,548.4843991597417,646.8
kích_thước khối_u,2754.0,2487.0,2742.0,2821.0,1950.0,2550.8,2163.070509240367,2550.8
bạch sản,2322.0,1170.0,2312.0,1664.0,1525.0,1798.6,1525.2072361297332,1798.6
u bia,941.0,756.0,928.0,72.0,558.0,651.0,552.0459861672725,651.0
nhủ nhi,1832.0,2599.0,1769.0,1871.0,0.0,2017.75,2017.75,2017.75
lưỡi kích_thích,941.0,631.0,842.0,945.0,463.0,764.4,648.2088353706039,764.4
cẳng_chân tư_thế,719.0,3202.0,418.0,2770.0,1138.0,1649.4,1398.6860976717348,1649.4
vi_nấm sâu,2393.0,2808.0,2362.0,2587.0,0.0,2537.5,2537.5,2537.5
bệnh_lý chấn_thương,2178.0,1907.0,2153.0,1493.0,1604.0,1867.0,1583.2102245380918,1867.0
an dịu,1122.0,3144.0,972.0,2515.0,0.0,1938.25,1938.25,1938.25
xe trái_tim,1433.0,2226.0,1360.0,1111.0,0.0,1532.5,1532.5,1532.5
lá ổi,1734.0,1417.0,1704.0,1163.0,1234.0,1450.4,1229.9347132672997,1450.4
đờm nhầy,3308.0,1935.0,3308.0,2989.0,2260.0,2760.0,2340.471462091662,2760.0
nhĩ trái,2692.0,485.0,2687.0,1408.0,1524.0,1759.2,1491.7961580114682,1759.2
tật lê_có_thể,1658.0,3376.0,1537.0,3284.0,0.0,2463.75,2463.75,2463.75
tỉnh bình_dương,2498.0,1698.0,2489.0,1730.0,1746.0,2032.2,1723.2993135009697,2032.2
xoang bướm,941.0,1096.0,873.0,640.0,672.0,844.4,716.0485878949999,844.4
bệnh_lý gốc,1658.0,600.0,1622.0,909.0,788.0,1115.4,945.8557495713914,1115.4
u ác_tính,3400.0,1055.0,3400.0,2811.0,2304.0,2594.0,2199.7039756035406,2594.0
phiên mã,3397.0,2292.0,3397.0,3363.0,0.0,3112.25,3112.25,3112.25
cơ_thắt đồng_tử,1433.0,1820.0,1324.0,1728.0,1110.0,1483.0,1257.579412420991,1483.0
vị khó_chịu,2676.0,469.0,2675.0,1402.0,1483.0,1741.0,1476.362614312168,1741.0
nguyên_liệu thiên_nhiên,1122.0,3404.0,946.0,3247.0,0.0,2179.75,2179.75,2179.75
lưỡi đen,1658.0,324.0,1645.0,520.0,504.0,930.2,788.8067224774146,930.2
hình túi,719.0,2123.0,599.0,579.0,0.0,1005.0,1005.0,1005.0
mụn nước_ngoài,719.0,601.0,674.0,220.0,386.0,520.0,440.958391408574,520.0
khu_vực xung_quanh,1734.0,791.0,1706.0,1109.0,969.0,1261.8,1070.002496691036,1261.8
đoạn dày,2676.0,1719.0,2672.0,2385.0,1827.0,2255.8,1912.9114218066566,2255.8
cốc to,2414.0,860.0,2409.0,1236.0,1488.0,1681.4,1425.8219986814931,1681.4
vỏ rễ,387.0,54.0,375.0,25.0,37.0,175.6,148.90825679104924,175.6
trà thảo_mộc,1433.0,2582.0,1316.0,1887.0,1333.0,1710.2,1450.2443095902756,1710.2
sinh_hoạt điều_độ,1122.0,3189.0,966.0,2619.0,0.0,1974.0,1974.0,1974.0
chiết lá,719.0,1605.0,508.0,1275.0,700.0,961.4,815.264225961929,961.4
cân vừa_phải,1891.0,1777.0,1862.0,1694.0,1403.0,1725.4,1463.133862569911,1725.4
chiết_xuất lá,941.0,2255.0,798.0,1474.0,984.0,1290.4,1094.2552082185077,1290.4
nhãn màu,2178.0,1920.0,2150.0,1723.0,1592.0,1912.6,1621.8788834769975,1912.6
biện_pháp màng,1265.0,252.0,1229.0,577.0,292.0,723.0,613.1017634392289,723.0
băng mát,1535.0,1032.0,1475.0,1519.0,958.0,1303.8,1105.6183667663438,1303.8
thịt cá,1265.0,1927.0,1190.0,1331.0,1076.0,1357.8,1151.410199720311,1357.8
bộ quốc_phòng,2498.0,2277.0,2486.0,2044.0,0.0,2326.25,2326.25,2326.25
tấy rát,387.0,2686.0,138.0,1172.0,0.0,1095.75,1095.75,1095.75
tiên_lượng tồi,1122.0,3214.0,964.0,2691.0,0.0,1997.75,1997.75,1997.75
môi_trường ẩm_ướt,1122.0,2368.0,1037.0,1122.0,0.0,1412.25,1412.25,1412.25
cơ_bắp cứng,2351.0,1394.0,2343.0,1310.0,1610.0,1801.6,1527.7512268493979,1801.6
trái ổi,719.0,2528.0,445.0,2167.0,912.0,1354.2,1148.3574108567134,1354.2
không_khí ngoài_trời,719.0,2946.0,463.0,1884.0,0.0,1503.0,1503.0,1503.0
đờm đặc,2927.0,974.0,2926.0,2105.0,1878.0,2162.0,1833.369311971802,2162.0
chuỗi hiện_tượng,3075.0,3062.0,3068.0,3332.0,0.0,3134.25,3134.25,3134.25
hiện_tượng mỏi_mắt,1658.0,2594.0,1576.0,1758.0,0.0,1896.5,1896.5,1896.5
dị_vật giác_mạc,1122.0,2478.0,1003.0,1731.0,1136.0,1494.0,1266.9073783930953,1494.0
nội phúc_mạc,2393.0,363.0,2393.0,233.0,1155.0,1307.4,1108.6711556299417,1307.4
cảm_giác tê_liệt,387.0,1118.0,377.0,22.0,0.0,476.0,476.0,476.0
nguồn_gốc trung_ương,1952.0,181.0,1947.0,683.0,452.0,1043.0,884.4607735368129,1043.0
ngôi ngang,2609.0,2477.0,2593.0,2592.0,1889.0,2432.0,2062.3284767416385,2432.0
tổn_thương van,1122.0,396.0,1080.0,566.0,387.0,710.2,602.2474030353255,710.2
u hạt,3379.0,964.0,3379.0,2656.0,2275.0,2530.6,2145.940971727957,2530.6
móng tay_chân,1891.0,1581.0,1879.0,684.0,0.0,1508.75,1508.75,1508.75
thịt bò,2859.0,2103.0,2856.0,2576.0,1993.0,2477.4,2100.8275362992335,2477.4
kiểu van,2692.0,942.0,2686.0,1714.0,1697.0,1946.2,1650.3715795372439,1946.2
mùi_vị khó_chịu,1658.0,2168.0,1587.0,1566.0,1362.0,1668.2,1414.6284395149678,1668.2
xơ_vữa động_mạch_vành,1832.0,3152.0,1743.0,2829.0,0.0,2389.0,2389.0,2389.0
tảo bẹ,2121.0,3365.0,2066.0,3453.0,0.0,2751.25,2751.25,2751.25
cân đột_ngột,3099.0,1421.0,3096.0,2558.0,2066.0,2448.0,2075.8964272465178,2448.0
cô gái,2121.0,1976.0,2085.0,2197.0,1556.0,1987.0,1684.9698533246858,1987.0
kinh_nghiệm sử_dụng_viên,2439.0,3169.0,2416.0,3143.0,0.0,2791.75,2791.75,2791.75
nốt cứng,2351.0,918.0,2344.0,1260.0,1467.0,1668.0,1414.4588401336566,1668.0
mầm tinh_hoàn,719.0,2623.0,472.0,1757.0,947.0,1303.6,1105.4487673850329,1303.6
tời gian,1658.0,3245.0,1542.0,2928.0,0.0,2343.25,2343.25,2343.25
tuyến_tiền_liệt lành_tính,2980.0,1311.0,2978.0,2358.0,1962.0,2317.8,1965.4872300130635,2317.8
kinh_nguyệt tự_nhiên,387.0,479.0,200.0,673.0,252.0,398.2,337.6723681901811,398.2
dầu đậu_tương,2650.0,2510.0,2641.0,2417.0,0.0,2554.5,2554.5,2554.5
nhu_cầu năng_lượng,1734.0,643.0,1715.0,814.0,881.0,1157.4,981.4716196466993,1157.4
tác_nhân môi_trường,1122.0,1194.0,1024.0,1304.0,782.0,1085.2,920.2462429934319,1085.2
tai_nạn xe_hơi,2294.0,2962.0,2268.0,2752.0,0.0,2569.0,2569.0,2569.0
bộ huyết_cầu,2216.0,554.0,2205.0,1360.0,1168.0,1500.6,1272.504157976358,1500.6
loạn_thần chu_kỳ,387.0,1429.0,108.0,1459.0,541.0,784.8,665.5079722643247,784.8
ngôi chẩm,2570.0,1410.0,2556.0,2189.0,1715.0,2088.0,1770.6175408867357,2088.0
sinh_dục nam,2351.0,1944.0,2339.0,1768.0,1703.0,2021.0,1713.801748147554,2021.0
trực_khuẩn lao,2498.0,1508.0,2487.0,2014.0,1694.0,2040.2,1730.0832887534093,2040.2
bao_cao_su đúng,941.0,3356.0,733.0,3038.0,0.0,2017.0,2017.0,2017.0
mĩ gốc,387.0,2929.0,81.0,1704.0,0.0,1275.25,1275.25,1275.25
hành_vi tình_dục,941.0,215.0,901.0,344.0,194.0,519.0,440.1103945020191,519.0
điện_tâm_đồ ít_nhất,1832.0,1024.0,1786.0,1596.0,1108.0,1469.2,1245.8770551105326,1469.2
túi chất_dẻo,1832.0,2166.0,1796.0,1308.0,0.0,1775.5,1775.5,1775.5
khu_vực bên,1952.0,1165.0,1920.0,1631.0,1278.0,1589.2,1347.6366838971267,1589.2
tiếng ồn,2633.0,3009.0,2612.0,3001.0,0.0,2813.75,2813.75,2813.75
cây lanh,2064.0,1261.0,2051.0,1037.0,1406.0,1563.8,1326.097562470631,1563.8
hồng_cầu hình_cầu,1734.0,920.0,1734.0,78.0,0.0,1116.5,1116.5,1116.5
hiệu_lực tương_đối,1122.0,1591.0,1000.0,1749.0,909.0,1274.2,1080.5176583323175,1274.2
sán chó,941.0,1712.0,837.0,1015.0,841.0,1069.2,906.6782924885526,1069.2
thời_tiết lạnh,2543.0,1606.0,2532.0,2008.0,1745.0,2086.8,1769.59994459887,2086.8
chu_kỳ kinh_nguyệt,3428.0,1845.0,3428.0,3311.0,2346.0,2871.6,2435.1079168631945,2871.6
sức_khoẻ tim_mạch,2439.0,812.0,2431.0,1642.0,1484.0,1761.6,1493.8313505872,1761.6
trà đặc,1535.0,697.0,1496.0,1204.0,787.0,1143.8,969.9388617175518,1143.8
đáp_ứng kiểu,2987.0,1971.0,2983.0,2711.0,2044.0,2539.2,2153.2337451243293,2539.2
bên tổn_thương,1832.0,763.0,1811.0,973.0,998.0,1275.4,1081.5352546201834,1275.4
tiêu đen,1122.0,127.0,1107.0,246.0,134.0,547.2,464.0239072668687,547.2
vết_thương nông,2260.0,2377.0,2234.0,2312.0,1691.0,2174.8,1844.2236723757055,2174.8
gây_tê cục_bộ,3009.0,1772.0,3008.0,2419.0,2055.0,2452.6,2079.7972130166704,2452.6
cốc giấy,1265.0,2398.0,1159.0,2147.0,1191.0,1632.0,1383.9309514976785,1632.0
dữ_liệu dịch_tễ,719.0,2007.0,535.0,1040.0,812.0,1022.6,867.1616366430919,1022.6
tư_thế đồng_tử,719.0,1521.0,504.0,1354.0,684.0,956.4,811.0242414291542,956.4
bột yến_mạch,2121.0,2613.0,2087.0,2082.0,0.0,2225.75,2225.75,2225.75
bướu thịt,1433.0,2715.0,1298.0,2278.0,1343.0,1813.4,1537.7575903467466,1813.4
khoang phúc_mạc,2518.0,2179.0,2503.0,2499.0,1789.0,2297.6,1948.3576925006532,2297.6
lành_tính vô_hại,387.0,2758.0,122.0,1332.0,0.0,1149.75,1149.75,1149.75
bạc_hà băng,1122.0,2333.0,998.0,1811.0,1073.0,1467.4,1244.350660678734,1467.4
rác_thải bệnh_viện,1734.0,1355.0,1702.0,1214.0,1216.0,1444.2,1224.677132446659,1444.2
cốm hạt,2999.0,2114.0,2995.0,2462.0,0.0,2642.5,2642.5,2642.5
sinh_thiết vú,387.0,313.0,312.0,274.0,176.0,292.4,247.9542954766674,292.4
thảo_dược phượng,1832.0,3252.0,1742.0,3013.0,0.0,2459.75,2459.75,2459.75
gốc hy_lạp,719.0,2436.0,552.0,970.0,0.0,1169.25,1169.25,1169.25
cuối mãn_kinh,2393.0,1056.0,2374.0,1708.0,1533.0,1812.8,1537.2487922028135,1812.8
pháp bàn,1265.0,3093.0,1146.0,2459.0,0.0,1990.75,1990.75,1990.75
xoang mạn_tính,941.0,57.0,921.0,154.0,45.0,423.6,359.2114896166769,423.6
chương_trình trị_liệu,1433.0,734.0,1351.0,1221.0,737.0,1095.2,928.7262120589813,1095.2
hạt cơm,2322.0,856.0,2315.0,1383.0,1425.0,1660.2,1407.8444642625282,1660.2
nhiễm_độc mạn,3179.0,2046.0,3178.0,2878.0,2177.0,2691.6,2282.4684736833037,2691.6
yếu_tố môi_trường,2708.0,1761.0,2704.0,2103.0,1860.0,2227.2,1888.6587102791846,2227.2
yếu_tố nguy,1265.0,1770.0,1202.0,919.0,1050.0,1241.2,1052.533760416004,1241.2
hoàng kỳ,3267.0,2076.0,3267.0,3044.0,2244.0,2779.6,2357.092201460139,2779.6
thời_điểm hiện_tại,719.0,2771.0,436.0,2283.0,977.0,1437.2,1218.7411541007743,1437.2
tình_hình sinh_lý,387.0,577.0,227.0,547.0,282.0,404.0,342.5907502481998,404.0
màu hồng,3208.0,653.0,3208.0,1681.0,2077.0,2165.4,1836.252501454089,2165.4
đáy chai,2121.0,1795.0,2086.0,2172.0,1527.0,1940.2,1645.2835980979141,1940.2
lịch_sử nhiễm_độc,1122.0,689.0,1044.0,1002.0,572.0,885.8,751.1556598263747,885.8
báo_cáo hiếm_hoi,387.0,3055.0,62.0,1968.0,0.0,1368.0,1368.0,1368.0
báo_cáo tự_phát,2322.0,2360.0,2300.0,2590.0,1717.0,2257.8,1914.6074156197665,2257.8
bên đùi,1433.0,1542.0,1383.0,770.0,1090.0,1243.6,1054.5689529917358,1243.6
hiệu_lực tối_ưu,2633.0,2781.0,2613.0,2915.0,1921.0,2572.6,2181.5568418032644,2572.6
đáp_ứng sinh_lý,3067.0,1424.0,3065.0,2507.0,2037.0,2420.0,2052.152513862979,2420.0
lớp mỡ,3050.0,1150.0,3049.0,2130.0,1992.0,2274.2,1928.5145648872674,2274.2
thực_quản bẩm_sinh,387.0,1162.0,338.0,160.0,490.0,507.4,430.2736303859817,507.4
nguồn_gốc thảo_dược,3368.0,1443.0,3368.0,2940.0,2278.0,2679.4,2272.1229114233333,2679.4
vật lạ,2765.0,1931.0,2757.0,2486.0,1901.0,2368.0,2008.056674722122,2368.0
lưỡi nhợt_nhạt,2906.0,2815.0,2899.0,2985.0,0.0,2901.25,2901.25,2901.25
chỉ_số huyết_học,2950.0,1827.0,2948.0,2615.0,2009.0,2469.8,2094.382759809416,2469.8
lông chó,719.0,1627.0,558.0,920.0,712.0,907.2,769.3027936266508,907.2
chỗ bẩn,1433.0,1249.0,1329.0,1563.0,964.0,1307.6,1108.8407550112527,1307.6
kích_thích buồng_trứng,1952.0,873.0,1924.0,1555.0,1154.0,1491.6,1264.8721858173635,1491.6
thân thần,387.0,732.0,185.0,790.0,339.0,486.6,412.6352947296387,486.6
mủ dương_vật,387.0,553.0,311.0,275.0,275.0,360.2,305.448485741093,360.2
màu đất_sét,3159.0,969.0,3159.0,1513.0,0.0,2200.0,2200.0,2200.0
hành lá,719.0,1844.0,506.0,1305.0,759.0,1026.6,870.5536242693116,1026.6
sán máng,2957.0,2390.0,2953.0,2682.0,0.0,2745.5,2745.5,2745.5
nhãn bao_bì,941.0,3302.0,745.0,2843.0,0.0,1957.75,1957.75,1957.75
tre em,1265.0,3424.0,1124.0,3453.0,0.0,2316.5,2316.5,2316.5
tầng trệt,1734.0,3404.0,1660.0,3453.0,0.0,2562.75,2562.75,2562.75
thay_đổi lối,1122.0,2417.0,1029.0,1202.0,0.0,1442.5,1442.5,1442.5
phù_nề thanh_quản,1265.0,1700.0,1192.0,1309.0,1024.0,1298.0,1100.6999847083252,1298.0
trung_tính dự_tính,1433.0,2788.0,1311.0,1942.0,0.0,1868.5,1868.5,1868.5
vai_trò khiêm_tốn,1265.0,2878.0,1147.0,2437.0,1309.0,1807.2,1532.5000095261057,1807.2
tuỷ_sống mãn_tính,2393.0,2701.0,2366.0,2421.0,0.0,2470.25,2470.25,2470.25
lứa tuổi_trẻ,1122.0,3428.0,945.0,3453.0,0.0,2237.0,2237.0,2237.0
phòng_bệnh dài_hạn,1122.0,3272.0,957.0,2809.0,0.0,2040.0,2040.0,2040.0
bên trái,3284.0,850.0,3284.0,2469.0,2164.0,2410.2,2043.8421441787405,2410.2
diện thân_đốt,941.0,3434.0,725.0,3453.0,0.0,2138.25,2138.25,2138.25
thân_nhiệt điện_tâm_đồ,941.0,3056.0,751.0,2560.0,1199.0,1701.4,1442.7819368125922,1701.4
hình_ảnh bóng,941.0,1734.0,790.0,1577.0,830.0,1174.4,995.8875670581334,1174.4
cơ_quan lân_cận,2322.0,1767.0,2306.0,1937.0,1637.0,1993.8,1690.7362322892595,1993.8
vô_trùng tuyệt_đối,3304.0,1510.0,3303.0,2636.0,0.0,2688.25,2688.25,2688.25
trung_tâm y_tế,3040.0,694.0,3040.0,941.0,1932.0,1929.4,1636.1252315071208,1929.4
cấu_trúc trơn,941.0,2055.0,876.0,615.0,0.0,1121.75,1121.75,1121.75
phân_tử tiền,2966.0,2444.0,2959.0,2778.0,2083.0,2646.0,2243.7998147443977,2646.0
giới_hạn hẹp,1734.0,1255.0,1709.0,1053.0,1178.0,1385.8,1175.1541131038498,1385.8
lông thú,387.0,2413.0,184.0,792.0,0.0,944.0,944.0,944.0
thể_trọng lý_tưởng,1734.0,3290.0,1663.0,3083.0,0.0,2442.5,2442.5,2442.5
táo_bón mạn_tính,2260.0,857.0,2251.0,1162.0,1378.0,1581.6,1341.191907407309,1581.6
tổng_số ca,719.0,2815.0,489.0,1590.0,0.0,1403.25,1403.25,1403.25
hạt thầu_dầu,1832.0,1075.0,1810.0,980.0,1169.0,1373.2,1164.4693520812575,1373.2
bức tường,2260.0,3329.0,2220.0,3323.0,0.0,2783.0,2783.0,2783.0
biểu_hiện xấu,1122.0,1391.0,1007.0,1649.0,835.0,1200.8,1018.274685391184,1200.8
vết thủng,1265.0,356.0,1244.0,343.0,410.0,723.6,613.6105615831619,723.6
khối_u rắn,3183.0,2110.0,3183.0,2823.0,2196.0,2699.0,2288.74365079181,2699.0
hình_ảnh tuyến,387.0,447.0,216.0,599.0,238.0,377.4,320.0340325338381,377.4
số_lượng gạc,1122.0,303.0,1095.0,328.0,298.0,629.2,533.5596536043746,629.2
cảm_giác nặng_nề,2475.0,582.0,2473.0,569.0,1433.0,1506.4,1277.4225400343769,1506.4
tác_nhân sinh_học,1891.0,183.0,1886.0,403.0,425.0,957.6,812.0418377170203,957.6
màng niêm_mạc,2414.0,195.0,2412.0,662.0,825.0,1301.6,1103.752773571923,1301.6
chánh đức,2840.0,3215.0,2832.0,3453.0,0.0,3085.0,3085.0,3085.0
cột_sống thắt_lưng,2633.0,2455.0,2614.0,2766.0,1888.0,2471.2,2095.5699554785924,2471.2
số_liệu chắc_chắn,1952.0,1271.0,1918.0,1641.0,1319.0,1620.2,1373.9245880003302,1620.2
bạch linh,3190.0,2023.0,3190.0,2813.0,2195.0,2682.2,2274.497302761687,2682.2
liên thất,2260.0,2010.0,2240.0,2026.0,1636.0,2034.4,1725.1649066953905,2034.4
cổ_phần công_nghệ_cao,2121.0,2151.0,2101.0,1563.0,0.0,1984.0,1984.0,1984.0
cổ to,2498.0,368.0,2493.0,1146.0,1230.0,1547.0,1311.8512144405079,1547.0
sắt dư_thừa,2007.0,1320.0,1978.0,1601.0,1373.0,1655.8,1404.1132778736862,1655.8
võng_mạc tiểu_đường,2064.0,2408.0,2023.0,2279.0,1599.0,2074.6,1759.2543823388994,2074.6
chuột_cống đực,2609.0,3048.0,2589.0,3113.0,1960.0,2663.8,2258.894159681076,2663.8
hiện_tượng sinh_lý,387.0,214.0,285.0,340.0,133.0,271.8,230.48555920163545,271.8
khí_hậu nóng,2765.0,621.0,2765.0,631.0,1682.0,1692.8,1435.4891634162195,1692.8
mép âm_hộ,3176.0,2825.0,3173.0,3265.0,2230.0,2933.8,2487.8533244509126,2933.8
cuộc hành_trình,2869.0,3194.0,2864.0,3453.0,0.0,3095.0,3095.0,3095.0
bướu tuyến_yên,719.0,562.0,595.0,622.0,361.0,571.8,484.8846311681204,571.8
phẫu_thuật răng,3028.0,784.0,3026.0,1919.0,1909.0,2133.2,1808.9470010630193,2133.2
ty thể,3058.0,825.0,3058.0,1268.0,1971.0,2036.0,1726.5217017458783,2036.0
áp_lực nhãn_cầu,2883.0,1151.0,2883.0,1393.0,1916.0,2045.2,1734.3232732861838,2045.2
đòn trái,1433.0,1672.0,1400.0,486.0,0.0,1247.75,1247.75,1247.75
lát mỏng,719.0,2231.0,587.0,707.0,0.0,1061.0,1061.0,1061.0
thay_đổi áp_suất,2587.0,2417.0,2575.0,2289.0,0.0,2467.0,2467.0,2467.0
dây bẩn,2260.0,1666.0,2238.0,2093.0,1580.0,1967.4,1668.3491139562088,1967.4
sức_khoẻ tổng_thể,2007.0,2605.0,1970.0,2186.0,1611.0,2075.8,1760.2719786267655,2075.8
bánh rau,1265.0,2081.0,1173.0,1810.0,1100.0,1485.8,1259.9538037593447,1485.8
mủ màu,1122.0,113.0,1101.0,300.0,112.0,549.6,466.0590998426006,549.6
màu hơi,941.0,552.0,936.0,26.0,466.0,584.2,495.3997928094019,584.2
cương dương_vật,2708.0,1490.0,2706.0,1695.0,1842.0,2088.2,1770.7871402680466,2088.2
ấu_trùng sán_dây,941.0,2549.0,815.0,1247.0,0.0,1388.0,1388.0,1388.0
vị_trí thẳng_đứng,2667.0,2470.0,2657.0,2771.0,1905.0,2494.0,2114.9042849480456,2494.0
túi phình,941.0,1004.0,865.0,689.0,633.0,826.4,700.7846435770107,826.4
yếu_tố hoại_tử,1952.0,532.0,1933.0,1141.0,948.0,1301.2,1103.413574809301,1301.2
tần_suất khiếm_khuyết,1658.0,3314.0,1539.0,3111.0,0.0,2405.5,2405.5,2405.5
thể_tích cặn,387.0,2318.0,202.0,657.0,0.0,891.0,891.0,891.0
mục_tiêu hàng_đầu,2971.0,3019.0,2967.0,3238.0,0.0,3048.75,3048.75,3048.75
giai_đoạn mãn_kinh,2518.0,524.0,2517.0,840.0,1422.0,1564.2,1326.436761233253,1564.2
cơ_thắt tâm,3044.0,1389.0,3043.0,2403.0,2017.0,2379.2,2017.554240075537,2379.2
thị_lực trầm_trọng,1122.0,642.0,1042.0,1031.0,547.0,876.8,743.5236876673802,876.8
dâu hiệu,719.0,3417.0,402.0,3222.0,0.0,1940.0,1940.0,1940.0
điều_hoà tiểu_não,2414.0,2718.0,2398.0,2759.0,1816.0,2421.0,2053.0005107695342,2421.0
rau mùi,1952.0,1759.0,1929.0,1245.0,1456.0,1668.2,1414.6284395149678,1668.2
tai_nạn huyết_mạch,2980.0,2962.0,2972.0,3204.0,0.0,3029.5,3029.5,3029.5
ngân_sách quốc_gia,1734.0,2684.0,1684.0,1931.0,0.0,2008.25,2008.25,2008.25
cục cứng,1122.0,663.0,1091.0,399.0,567.0,768.4,651.6008229968236,768.4
lưỡi bản_đồ,2351.0,2815.0,2327.0,2567.0,0.0,2515.0,2515.0,2515.0
cảm_giác bồng_bềnh,1734.0,1118.0,1733.0,164.0,0.0,1187.25,1187.25,1187.25
ngăn_ngừa táo_bón,387.0,3044.0,63.0,1946.0,0.0,1360.0,1360.0,1360.0
trị_liệu đặc_hiệu,1265.0,1175.0,1177.0,1548.0,845.0,1202.0,1019.29228167905,1202.0
ấu_trùng giun_chỉ,2854.0,2549.0,2844.0,2705.0,0.0,2738.0,2738.0,2738.0
đốm dầu,2216.0,2303.0,2189.0,2366.0,1643.0,2143.4,1817.59656950988,2143.4
kháng_thể sán_lá,719.0,2978.0,459.0,1937.0,0.0,1523.25,1523.25,1523.25
tương_quan tuyến_tính,2414.0,3329.0,2394.0,3453.0,0.0,2897.5,2897.5,2897.5
trà gừng,1658.0,2062.0,1564.0,1946.0,1322.0,1710.4,1450.4139089715868,1710.4
rau đắng,3020.0,1172.0,3018.0,2248.0,1982.0,2288.0,1940.2169221977258,2288.0
cảm_giác no,1832.0,875.0,1828.0,191.0,1129.0,1171.0,993.0043775758465,1171.0
nguồn_gốc thiên_nhiên,387.0,1395.0,274.0,368.0,559.0,596.6,505.91495445068324,596.6
toả tia,387.0,2946.0,77.0,1755.0,0.0,1291.25,1291.25,1291.25
đám đọng,3028.0,2364.0,3024.0,2736.0,0.0,2788.0,2788.0,2788.0
tổn_thương hồng,1265.0,300.0,1230.0,572.0,355.0,744.4,631.2488972395048,744.4
cảm_giác khập_khiễng,1265.0,1118.0,1263.0,77.0,0.0,930.75,930.75,930.75
đường_hướng tâm,387.0,2199.0,234.0,517.0,0.0,834.25,834.25,834.25
tổn_thương nguyên_phát,1122.0,360.0,1081.0,548.0,349.0,692.0,586.8138593360254,692.0
loài động_vật_có_vú,1658.0,2493.0,1582.0,1648.0,0.0,1845.25,1845.25,1845.25
u vàng,2859.0,251.0,2859.0,1127.0,1442.0,1707.6,1448.0395176332327,1707.6
thoa thực_sự,1891.0,3389.0,1835.0,3453.0,0.0,2642.0,2642.0,2642.0
chẩm chậu,2178.0,2543.0,2144.0,2069.0,0.0,2233.5,2233.5,2233.5
cắt_lớp điện_toán,3102.0,1333.0,3102.0,1850.0,0.0,2346.75,2346.75,2346.75
bệnh_bạch_cầu dòng,2216.0,1173.0,2193.0,1882.0,1443.0,1781.4,1510.621689336988,1781.4
đợt trị_liệu,2121.0,1611.0,2091.0,2031.0,1489.0,1868.6,1584.5670195885796,1868.6
trượng hợp,1265.0,3211.0,1137.0,2734.0,0.0,2086.75,2086.75,2086.75
bệnh_lý thực_thể,2260.0,569.0,2249.0,1308.0,1217.0,1520.6,1289.464096107457,1520.6
chườm lạnh,2570.0,1239.0,2560.0,1953.0,1674.0,1999.2,1695.3154155846562,1999.2
