collocation,mle_rank,pmi_rank,tscore_rank,dice_rank,ll_rank,rank_av,rank_nor,rank_opt
hình_ảnh điển_hình,2498.0,1714.0,2483.0,2307.0,1721.0,2144.6,1818.614165797746,2144.6
miếng bấc,387.0,2883.0,92.0,1582.0,0.0,1236.0,1236.0,1236.0
mu bàng_quang,941.0,1737.0,853.0,759.0,869.0,1031.8,874.9632081833975,1031.8
túi lệ,3281.0,2064.0,3280.0,2998.0,2253.0,2775.2,2353.3610150712975,2775.2
thân rễ,3107.0,2127.0,3106.0,2862.0,2121.0,2664.6,2259.5725572063197,2664.6
tâm_trạng bất_ổn,2064.0,3009.0,2016.0,2704.0,0.0,2448.25,2448.25,2448.25
hội trứng,2294.0,1936.0,2279.0,1721.0,1664.0,1978.8,1678.0162786909352,1978.8
cảm_giác đau_đớn,941.0,199.0,933.0,46.0,184.0,460.6,390.58737515921,460.6
khuyến_cáo tương_tự,1122.0,1324.0,1064.0,808.0,834.0,1030.4,873.7760125142206,1030.4
ảnh_hưởng lâu_dài,941.0,699.0,836.0,1028.0,487.0,798.2,676.8711308121611,798.2
quy_trình kỹ_thuật,2667.0,2790.0,2655.0,2943.0,1940.0,2599.0,2203.943960136315,2599.0
mày_đay mạn_tính,3188.0,1792.0,3188.0,2547.0,0.0,2678.75,2678.75,2678.75
hồng đa_dạng,3215.0,2697.0,3213.0,3245.0,2247.0,2923.4,2479.034156622741,2923.4
bạc tóc,2518.0,2573.0,2504.0,2355.0,0.0,2487.5,2487.5,2487.5
hoạt_động thể_lực,1535.0,2243.0,1495.0,1216.0,0.0,1622.25,1622.25,1622.25
số_lượng tinh_trùng,2736.0,1263.0,2734.0,1707.0,1811.0,2050.2,1738.5632578189584,2050.2
phấn ong,2543.0,2342.0,2527.0,2402.0,1836.0,2330.0,1975.8327922730336,2330.0
thông gió,2216.0,2195.0,2197.0,1688.0,0.0,2074.0,2074.0,2074.0
quanh cổ,719.0,19.0,705.0,64.0,5.0,302.4,256.4342645422169,302.4
cây đương_quy,1832.0,1534.0,1817.0,833.0,1351.0,1473.4,1249.4386421180636,1473.4
hình_dạng hồng_cầu,387.0,1515.0,219.0,586.0,588.0,659.0,558.829961419712,659.0
ớn lạnh,2121.0,2259.0,2098.0,1705.0,0.0,2045.75,2045.75,2045.75
bên nách,387.0,805.0,295.0,312.0,379.0,435.6,369.3874524953363,435.6
thể_tích đủ,2178.0,572.0,2155.0,1358.0,1137.0,1480.0,1255.0354217013262,1480.0
sảng mộng,1433.0,3422.0,1269.0,3453.0,0.0,2394.25,2394.25,2394.25
mảng xù_xì,719.0,2582.0,519.0,1147.0,0.0,1241.75,1241.75,1241.75
hoạt_động tuyến_giáp,719.0,46.0,698.0,91.0,31.0,317.0,268.81501937791916,317.0
lựa_chọn thứ,1433.0,1900.0,1390.0,711.0,0.0,1358.5,1358.5,1358.5
bán_cầu tiểu_não,1122.0,2862.0,971.0,2515.0,1222.0,1738.4,1474.1578223551253,1738.4
sáng quanh,387.0,463.0,210.0,623.0,246.0,385.8,327.15720654889975,385.8
giáp bẩm_sinh,387.0,191.0,354.0,126.0,118.0,235.2,199.44887242172425,235.2
đuôi rễ,2906.0,2537.0,2900.0,2901.0,2058.0,2660.4,2256.0109701987894,2660.4
huỳnh_quang trắng,1265.0,2097.0,1204.0,862.0,0.0,1357.0,1357.0,1357.0
thành mạch_máu,1891.0,905.0,1880.0,638.0,1152.0,1293.2,1096.6295995568614,1293.2
cường tuyến_giáp,3196.0,1068.0,3195.0,2323.0,2117.0,2379.8,2018.0630382194704,2379.8
nam á,3200.0,2454.0,3199.0,3094.0,2223.0,2834.0,2403.2232331767286,2834.0
khối_u vú,2633.0,446.0,2631.0,1455.0,1424.0,1717.8,1456.6890860800931,1717.8
bệnh_lí ác_tính,387.0,1017.0,281.0,353.0,447.0,497.0,421.4544625578102,497.0
hiệp thuận_thành,2475.0,3320.0,2441.0,3453.0,0.0,2922.25,2922.25,2922.25
hạ_áp nhất_định,2812.0,2496.0,2805.0,2854.0,1991.0,2591.6,2197.6687830278083,2591.6
rối_loạn_chức_năng đồi,941.0,514.0,854.0,758.0,413.0,696.0,590.2058469622452,696.0
quả bơ,1122.0,2175.0,1025.0,1301.0,1048.0,1334.2,1131.3974727256145,1334.2
hệ_miễn_dịch khoẻ_mạnh,1658.0,274.0,1643.0,555.0,454.0,916.8,777.4435639295782,916.8
trò_chơi điện_tử,1658.0,3324.0,1538.0,3135.0,0.0,2413.75,2413.75,2413.75
